,tp,contactdate,contacttime,blocknumber,streetname,ReasonForStop,fulladdress,lat,lon
0,stop,5/4/2020 0:00,17:25:00,,100TH & BANCROFT AV AV,Traffic Violation,100TH & BANCROFT AV AV,37.7461708,-122.1603552
1,stop,5/4/2020 0:00,17:25:00,,100TH & BANCROFT AV AV,Traffic Violation,100TH & BANCROFT AV AV,37.7461708,-122.1603552
2,stop,5/4/2020 0:00,17:25:00,,100TH & BANCROFT AV AV,Traffic Violation,100TH & BANCROFT AV AV,37.7461708,-122.1603552
3,stop,2/28/2020 0:00,17:14:00,1400,100TH AV,Traffic Violation,1400 100TH AV,37.7427706,-122.1692482
4,stop,6/20/2020 0:00,0:36:00,2000,100TH AV,Probable Cause,2000 100TH AV,37.7445451,-122.1618989
5,stop,4/12/2020 0:00,0:59:00,1100,100th Ave,Reasonable Suspicion,1100 100th Ave,37.7399562,-122.1740557
6,stop,4/12/2020 0:00,0:59:00,1100,100th Ave,Reasonable Suspicion,1100 100th Ave,37.7399562,-122.1740557
7,stop,12/5/2020 0:00,8:52:00,1100,101st,Community Caretaking,1100 101st,37.7394432,-122.1734187
8,stop,7/19/2020 0:00,5:00:00,2000,101ST AV,Reasonable Suspicion,2000 101ST AV,37.7437442,-122.1615884
9,stop,12/1/2020 0:00,7:40:00,1400,101ST AV,Reasonable Suspicion,1400 101ST AV,37.7421223,-122.1688142
10,stop,6/27/2020 0:00,10:50:00,1300,102ND AV,Community Caretaking,1300 102ND AV,37.7401963,-122.170058
11,stop,6/28/2020 0:00,21:51:00,1300,102ND AV,Community Caretaking,1300 102ND AV,37.7401963,-122.170058
12,stop,7/1/2020 0:00,12:33:00,1300,102ND AV,Community Caretaking,1300 102ND AV,37.7401963,-122.170058
13,stop,7/11/2020 0:00,17:30:00,1300,102ND AV,Community Caretaking,1300 102ND AV,37.7401963,-122.170058
14,stop,7/14/2020 0:00,14:46:00,1300,102ND AV,Community Caretaking,1300 102ND AV,37.7401963,-122.170058
15,stop,2/29/2020 0:00,8:30:00,1300,102nd Ave,Community Caretaking,1300 102nd Ave,37.7401963,-122.170058
16,stop,9/10/2020 0:00,12:16:00,1200,102ND AVE,Community Caretaking,1200 102ND AVE,37.7393564,-122.1721901
17,stop,1/14/2020 0:00,21:44:00,1400,103RD AV,Community Caretaking,1400 103RD AV,37.7401971,-122.16768
18,stop,4/26/2020 0:00,14:05:00,1100,103RD AV,Community Caretaking,1100 103RD AV,37.7380314,-122.1723092
19,stop,5/6/2020 0:00,17:45:00,1900,103RD AV,Reasonable Suspicion,1900 103RD AV,37.7421748,-122.1622093
20,stop,5/6/2020 0:00,17:45:00,1900,103RD AV,Consensual Encounter & Search,1900 103RD AV,37.7421748,-122.1622093
21,stop,5/17/2020 0:00,0:11:00,1400,103RD AV,Community Caretaking,1400 103RD AV,37.7401971,-122.16768
22,stop,8/10/2020 0:00,9:26:00,2200,103RD AV,Community Caretaking,2200 103RD AV,37.7436557,-122.1581322
23,stop,9/19/2020 0:00,12:51:00,1000,103RD AV,Community Caretaking,1000 103RD AV,37.7375545,-122.1733468
24,stop,11/7/2020 0:00,5:57:00,2100,103RD AV,Probable Cause,2100 103RD AV,37.742854,-122.1599572
25,stop,12/1/2020 0:00,7:57:00,100,103RD AV,Community Caretaking,100 103RD AV,37.7416984,-122.1648095
26,stop,6/21/2020 0:00,23:06:00,2200,103Rd Ave,Community Caretaking,2200 103Rd Ave,37.7436557,-122.1581322
27,stop,6/28/2020 0:00,17:34:00,2200,103rd Ave,Community Caretaking,2200 103rd Ave,37.7436557,-122.1581322
28,stop,8/14/2020 0:00,17:44:00,1400,103rd Ave,Community Caretaking,1400 103rd Ave,37.7401971,-122.16768
29,stop,8/14/2020 0:00,17:03:00,2100,103rd Ave,Traffic Violation,2100 103rd Ave,37.742854,-122.1599572
30,stop,8/30/2020 0:00,22:46:00,1100,103rd Ave,Community Caretaking,1100 103rd Ave,37.7380314,-122.1723092
31,stop,10/4/2020 0:00,9:41:00,2000,103RD AVE,Community Caretaking,2000 103RD AVE,37.7424067,-122.161055
32,stop,7/5/2020 0:00,12:00:00,2200,103rd Avenue,Community Caretaking,2200 103rd Avenue,37.7436557,-122.1581322
33,stop,1/20/2020 0:00,19:45:00,1700,104TH AV,Community Caretaking,1700 104TH AV,37.7408315,-122.1642939
34,stop,3/13/2020 0:00,11:57:00,1000,104TH AV,Probable Cause,1000 104TH AV,37.7370566,-122.1731513
35,stop,4/18/2020 0:00,10:10:00,2100,104th Av,Traffic Violation,2100 104th Av,37.7421153,-122.1596478
36,stop,4/18/2020 0:00,10:10:00,2100,104th Av,Traffic Violation,2100 104th Av,37.7421153,-122.1596478
37,stop,4/24/2020 0:00,14:01:00,1300,104TH AV,Traffic Violation,1300 104TH AV,37.7388912,-122.1692898
38,stop,9/10/2020 0:00,21:27:00,1700,104TH AV,Traffic Violation,1700 104TH AV,37.7408315,-122.1642939
39,stop,1/13/2020 0:00,14:30:00,1600,104TH AV,Community Caretaking,1600 104TH AV,37.7406734,-122.1658886
40,stop,1/13/2020 0:00,9:00:00,2000,104TH AV,Community Caretaking,2000 104TH AV,37.7416611,-122.1607045
41,stop,1/24/2020 0:00,14:45:00,1000,104th Ave,Probable Cause,1000 104th Ave,37.7370566,-122.1731513
42,stop,1/24/2020 0:00,14:45:00,1000,104th Ave,Probable Cause,1000 104th Ave,37.7370566,-122.1731513
43,stop,2/3/2020 0:00,23:11:00,1700,104th Ave,Traffic Violation,1700 104th Ave,37.7408315,-122.1642939
44,stop,2/18/2020 0:00,0:03:00,1800,104th Ave,Traffic Violation,1800 104th Ave,37.7410467,-122.1630964
45,stop,4/29/2020 0:00,9:41:00,1700,104th Ave,Probable Cause,1700 104th Ave,37.7408315,-122.1642939
46,stop,5/5/2020 0:00,13:31:00,1600,104th Ave,Community Caretaking,1600 104th Ave,37.7406734,-122.1658886
47,stop,10/28/2020 0:00,17:44:00,1800,104TH AVE,Probable Cause,1800 104TH AVE,37.7410467,-122.1630964
48,stop,1/6/2020 0:00,0:16:00,1900,104TH AVE,Community Caretaking,1900 104TH AVE,37.7413689,-122.1618007
49,stop,1/20/2020 0:00,22:55:00,2100,104th Avenue,Traffic Violation,2100 104th Avenue,37.7421153,-122.1596478
