,tp,dttm,blocknumber,streetname,ReasonForStop,fulladdress,lat,lon
0,useOfForce,2020-01-01 1:24:00,8400,International Blvd,Traffic Stop,8400 International Blvd,37.7544271,-122.1775967
1,useOfForce,2020-01-01 1:24:00,8400,International Blvd,Traffic Stop,8400 International Blvd,37.7544271,-122.1775967
2,useOfForce,2020-01-02 8:31:00,1300,42nd Ave,On View,1300 42nd Ave,37.772371,-122.2167348
3,useOfForce,2020-01-02 8:31:00,1300,42nd Ave,On View,1300 42nd Ave,37.772371,-122.2167348
4,useOfForce,2020-01-03 0:28:00,,90th Ave & Bancroft Ave,Dispatched Call,90th Ave & Bancroft Ave,37.7536515,-122.165618
5,useOfForce,2020-01-04 1:19:00,6200,San Leandro St,Dispatched Call,6200 San Leandro St,37.7592183,-122.202703
6,useOfForce,2020-01-04 18:29:00,2600,Foothill Blvd,Dispatched Call,2600 Foothill Blvd,37.7845766,-122.228985
7,useOfForce,2020-01-05 8:19:00,1200,Embarcadero,On View,1200 Embarcadero,37.7990971,-122.2895542
8,useOfForce,2020-01-05 8:19:00,1200,Embarcadero,On View,1200 Embarcadero,37.7990971,-122.2895542
9,useOfForce,2020-01-05 8:19:00,1200,Embarcadero,On View,1200 Embarcadero,37.7990971,-122.2895542
10,useOfForce,2020-01-05 15:28:00,2300,Martin Luther King Jr Way,Dispatched Call,2300 Martin Luther King Jr Way,37.8135781,-122.2725006
11,useOfForce,2020-01-06 1:40:00,6400,San Leandro St,On View,6400 San Leandro St,37.7579228,-122.2011585
12,useOfForce,2020-01-06 1:40:00,6400,San Leandro St,On View,6400 San Leandro St,37.7579228,-122.2011585
13,useOfForce,2020-01-06 1:40:00,6400,San Leandro St,On View,6400 San Leandro St,37.7579228,-122.2011585
14,useOfForce,2020-01-06 4:44:00,2700,Adeline St,Dispatched Call,2700 Adeline St,37.8194482,-122.2822585
15,useOfForce,2020-01-06 21:17:00,700,Adeline St,"Special Project (e.g., 647b)",700 Adeline St,37.8041675,-122.2874524
16,useOfForce,2020-01-06 21:17:00,700,Adeline St,"Special Project (e.g., 647b)",700 Adeline St,37.8041675,-122.2874524
17,useOfForce,2020-01-06 21:17:00,700,Adeline St,"Special Project (e.g., 647b)",700 Adeline St,37.8041675,-122.2874524
18,useOfForce,2020-01-06 21:17:00,700,Adeline St,"Special Project (e.g., 647b)",700 Adeline St,37.8041675,-122.2874524
19,useOfForce,2020-01-06 21:17:00,700,Adeline St,"Special Project (e.g., 647b)",700 Adeline St,37.8041675,-122.2874524
20,useOfForce,2020-01-07 12:31:00,,High & Coliseum,Dispatched Call,High & Coliseum,37.7567466,-122.1930517
21,useOfForce,2020-01-07 12:31:00,,High & Coliseum,Dispatched Call,High & Coliseum,37.7567466,-122.1930517
22,useOfForce,2020-01-07 23:01:00,1300,42nd Ave,Dispatched Call,1300 42nd Ave,37.772371,-122.2167348
23,useOfForce,2020-01-07 23:01:00,1300,42nd Ave,Dispatched Call,1300 42nd Ave,37.772371,-122.2167348
24,useOfForce,2020-01-07 23:01:00,1300,42nd Ave,Dispatched Call,1300 42nd Ave,37.772371,-122.2167348
25,useOfForce,2020-01-07 23:01:00,1300,42nd Ave,Dispatched Call,1300 42nd Ave,37.772371,-122.2167348
26,useOfForce,2020-01-07 23:01:00,1300,42nd Ave,Dispatched Call,1300 42nd Ave,37.772371,-122.2167348
